en;it;es;Fr
Secrets Sheet§Enter a code to unlock a bonus!;Foglio dei Segreti§Immetti un codice per ottenere dei bonus!;Hoja de Secretos§Ingresa un código para obtener bonificaciones.;Feuille des Secrets§Entre un code pour débloquer un bonus !
Cute Monster§;Esserino§;Monstruo Lindo§;Monstre Mignon§
Revolt Sword§A destructive sword received from the King himself!;Spada della Rivolta§Una spada distruttiva che ti è stata data dal Re in persona!;Espada de Revuelta§Una espada destructiva recibida del propio Rey!;Epée de la Révolte§Une épée destructrice reçue du Roi en personne !
Assassin Blade§A powerful sword with a sharp blade.;Lama Assassina§Una potente spada dalla lama... Affilata.;Cuchilla Asesina§Una espada poderosa con una hoja afilada.;Lame assassine§Une épée puissante avec une lame très aiguisée.
Soldier's Sword§A common sword used by all the soldiers of the castle.;Spada del Soldato§La spada comune usata da tutti i soldati del castello.;Espada de Soldado§Una espada común utilizada por todos los soldados del castillo.;Epée du Soldat§Une épée commune utilisée par tous les soldats du château.
Sabrelyzer§A powerful sword with high destructive power!;Sciabolyzer§Una potente spada decisamente distruttiva!;Sabrelyzer§Una espada poderosa con un alto poder destructivo!;Sabrelyzer§Une puissante épée au pouvoir hautement destructeur !
Gelizedor§A sharp sword with an icy blade.;Gelizedor§Una spada affilata dalla lama gelida.;Gelizedor§Una espada afilada con una cuchilla helada.;Gelizedor§Une épée particulièrement effilée avec un lame de glace.
Lollipop§Mmm, so sweet!;Lecca-lecca§Uhm che buono!;Paleta§Mmm, que dulce!;Sucette§Mmmh, trop bon !
Electric Sword§A sword that constantly radiates electric shockwaves.;Spada Elettrica§Una spada che emette scariche elettriche in continuazione.;Espada Eléctrica§Una espada que irradia constantemente ondas de choque eléctricas.;Epée Electrique§Une épée émettant constamment des ondes électriques.
Revolt Sword II§The Revolt Sword, now strengthened and empowered!;Spada della Rivolta II§La Spada della Rivolta potenziata! Ancora più resistente, ancora più distruttiva.;Espada de Revuelta II§La Espada de Revuelta, ahora fortalecida y potenciada!;Epée de la Révolte II§L'Epée de la Révolte renforcée et plus puissante !
Zombiesbane§A sword that's extra effective against undead!;Ammazzazombie§Una spada superefficace contro qualsiasi morto vivente!;Matazombis§Una espada altamente efectiva ante los muertos vivientes!;Fléauzombie§Une épée extra efficace contre les morts-vivants !
Sword of the Legendary Hero§A mighty sword. Indestructible. Fast. LEGENDARY.;Spada dell'Eroe Leggendario§Una spada potente. Indistruttibile. Agile. LEGGENDARIA.;Espada del Héroe Legendario§Una poderosa espada. Indestructible. LEGENDARIA.;Epée du Héros Légendaire§Une épée puissante. Indestructible. Rapide. LEGENDAIRE.
Electric Guitar§Rock and roll baby!;Chitarra Elettrica§Rock and roll baby!;Guitarra Eléctrica§Rock and roll nena!;Guitare Electrique§Rock and roll, baby !
Icy Sword§A sharp blade honed from nevermelting ice.;Spada Ghiacciata§Una spada incredibilmente affilata, completamente scalfita nel ghiaccio.;Espada Helada§Una hoja afilada afilada con hielo que nunca se derrite.;Epée de Glace§Une épée précise affinée pour sa glace éternelle.
Flaming Sword§A sword that catches fire as soon as you pick it up.;Spada Infuocata§Una spada che si incendia di continuo non appena viene presa in mano.;Espada Flameante§Una espada que se incendia tan pronto como la levantas.;Epée de Flamme§Une épée qui s'enflamme dès qu'elle est saisie.
Silver Slash§A silver blade that destroys your enemies!;Silver Slash§Una lama in argento che distrugge i tuoi nemici!;Cuchillada de Plata§Una hoja plateada que destruye a tus enemigos!;Silver Slash§Une lame d'argent qui détruit tes ennemis !
Katana§A lightweight ninja weapon with an increased critical hit ratio.;Katana§Spada ninja debole, ma con alte probabilità di sferrare colpi critici.;Katana§Un arma ninja liviana con una mayor proporción de golpes críticos.;Katana§Une arme ninja légère avec un ratio élevé de coup critique.
Final Revolt Sword§The most powerful Revolt Sword! It wipes out any enemy!;Spada della Rivolta Finale§Il grado più potente della Spada della Rivolta! Spazza via ogni nemico!;Espada de Revuelta Definitiva§La Espada de Revuelta más poderosa! ¡Elimina a cualquier enemigo!;Epée de la Révolte Finale§La plus puissante Epée de la Révolte ! Elle annihile tout ennemi !
Dragon Sword§A very mighty sword forged from dragon scales.;Spada del Drago§Una potentissima spada forgiata con scaglie di drago.;Espada de Dragón§Una espada muy poderosa forjada con escamas de dragón.;Epée du Dragon§Une très puissante épée forgée à partir d'écailles de dragon.
Finalboss Sword§The mighty golden sword of Finalboss!;Spada di Bossfinale§La potente spada dorata di Bossfinale!;Espada de Jefefinal§La poderosa espada dorada de Jefefinal.;Epée de Bossfinal§La puissante épée d'or de Bossfinal !
Soul Eater§Devours the souls of slain enemies!;Divoranime§Colpisci i nemici e mangia le loro anime.;Devoradora de Almas§Devora las almas de los enemigos muertos!;Soul Eater§Dévore les âmes des ennemis vaincus !
Copper Necklace§A simple necklace that slightly protects against enemy attacks.;Collana di Rame§Una semplice collana che protegge lievemente dagli attacchi nemici.;Collar de cobre§Un collar simple que protege ligeramente contra los ataques enemigos.;Collier de Cuivre§Un simple collier qui protège légèrement contre les attaques ennemies.
Bronze Necklace§This necklace discreetly protects from enemy attacks.;Collana di Bronzo§Questa collana protegge discretamente dai colpi dei nemici.;Collar de bronce§Este collar protege discretamente de los ataques enemigos.;Collier de Bronze§Ce collier protège discrètement des attaques ennemies.
Silver Necklace§More robust than some necklaces, it is excellent as protection in a battle.;Collana d'Argento§Più robusta di alcune collane, è ottima come protezione in una battaglia.;Collar de plata§Más robusto que algunos collares, es excelente como protección en una batalla.;Collier d'Argent§Plus robuste que certains colliers, il est excellent comme protection durant le combat.
Golden Necklace§A golden necklace that offers complete defense.;Collana d'Oro§Una collana dorata che offre una difesa completa.;Collar de Oro§Un collar dorado que ofrece una defensa completa.;Collier d'Or§Un collier d'Or offrant une défense totale.
Sword Case§Lets you carry and switch between all of your swords!;Fodera§Qui dentro potrai riporre ogni spada che otterrai durante la tua avventura!;Funda para Espadas§Te permite llevar y cambiar entre todas tus espadas!;Fourreau§Te permets de transporter et changer d'épée !
Strength Necklace§This necklace increases your attack power.;Collana di Forza§Questa collana aumenta la tua potenza d'attacco.;Collar de Fuerza§Este collar aumenta tu poder de ataque.;Collier de Force§Ce collier accroît l'attaque.
Doubler Bracelet§Equipping this bracelet lets you level up faster!;Bracciale Doppiatore§Equipaggiando questo bracciale sarà molto più semplice salire di livello!;Brazalete Doubler§Equipar este brazalete te permite subir de nivel más rápido!;Doubler Bracelet§Equiper ce bracelet te permet d'atteindre les niveaux supérieurs plus rapidement !
Healing Bracelet§Equipping this bracelet your wounds will heal automatically.;Bracciale Energetico§Equipaggiando questo bracciale le tue ferite si cureranno automaticamente.;Brazalete curativo§Equipando esta pulsera, tus heridas sanarán automáticamente.;Bracelet de Guérison§Equiper ce bracelet guérit instantanément tes blessures.
Rainbow Bracelets§Two bracelets that will double your ESP and restore your energy!;Bracciali Arcobaleno§Due bracciali che, se equipaggiati, renderanno doppia la tua ESP e ti restituirà energia!;Brazalete de Arcoiris§Dos brazaletes que duplicarán tu EXP y restaurarán tu energía!;Bracelets Arc-en-Ciel§Deux bracelets qui doublent ton ESP et restaurent ta santé !
Electric Shock§The Electric Sword allows you to cast powerful electric shocks against your enemies!;Scarica Elettrica§La spada elettrica ti permette di lanciare potenti scariche elettriche contro i nemici!;Descarga Eléctrica§La espada eléctrica te permite lanzar poderosas descargas eléctricas contra tus enemigos!;Choc Electrique§L'Epée Electrique te permet de lancer de puissants chocs électriques contre tes ennemis !
Icy Storm§The Icy Sword allows you to cast devastating icy storms!;Tempesta Gelida§La spada ghiacciata ti permette di lanciare devastanti tempeste di ghiaccio!;Tormenta de Nieve§La espada Tormenta de Nieve te permite lanzar devastadoras tormentas heladas.;Tempête de Glace§La Tempête de Glace te permet de lancer des sorts de glace dévastateurs !
Fire Bomb§The Fire Sword allows you to cast destructive fire bombs!;Bomba di Fuoco§La spada infuocata ti permette di lanciare distruttive bombe di fuoco!;Bomba de Fuego§La espada de fuego te permite lanzar bombas de fuego destructivas!;Bombe de Feu§L'épée de Feu te permet de lancer des bombes de feu destrutrices !
Magic Attack§Shake the Finalboss Sword and cast powerful magic attacks!;Attacco Magico§Sventola la spada di Bossfinale e lancia potenti attacchi magici!;Ataque Mágico§Agita la Espada de Jefefinal y lanza poderosos ataques mágicos!;Attaque Magique§Secoue l'Epée de Bossfinal et lance de puissantes attaques magiques !
